comp-char	common-char	comp-code	common-code	level	flag
變	變	U+2F9D1	U+8B8A	#	
豕	豕	U+2F9D2	U+8C55	#	
𧲨	𧲨	U+2F9D3	U+27CA8	B	
貫	貫	U+2F9D4	U+8CAB	#	
賁	賁	U+2F9D5	U+8CC1	#	
贛	贛	U+2F9D6	U+8D1B	#	
起	起	U+2F9D7	U+8D77	#	
𧼯	𧼯	U+2F9D8	U+27F2F	B	
𠠄	𠠄	U+2F9D9	U+20804	B	
跋	跋	U+2F9DA	U+8DCB	#	
趼	趼	U+2F9DB	U+8DBC	#	
跰	跰	U+2F9DC	U+8DF0	#	
𠣞	𠣞	U+2F9DD	U+208DE	B	
軔	軔	U+2F9DE	U+8ED4	#	
輸	輸	U+2F9DF	U+8F38	#	
𨗒	𨗒	U+2F9E0	U+285D2	B	
𨗭	𨗭	U+2F9E1	U+285ED	B	
邔	邔	U+2F9E2	U+9094	#	
郱	郱	U+2F9E3	U+90F1	#	
鄑	鄑	U+2F9E4	U+9111	#	
𨜮	𨜮	U+2F9E5	U+2872E	B	
鄛	鄛	U+2F9E6	U+911B	#	
鈸	鈸	U+2F9E7	U+9238	#	
鋗	鋗	U+2F9E8	U+92D7	#	
鋘	鋘	U+2F9E9	U+92D8	#	
鉼	鉼	U+2F9EA	U+927C	#	
鏹	鏹	U+2F9EB	U+93F9	#	
鐕	鐕	U+2F9EC	U+9415	#	
𨯺	𨯺	U+2F9ED	U+28BFA	B	
開	開	U+2F9EE	U+958B	#	
䦕	䦕	U+2F9EF	U+4995	A	
閷	閷	U+2F9F0	U+95B7	#	
𨵷	𨵷	U+2F9F1	U+28D77	B	
䧦	䧦	U+2F9F2	U+49E6	A	
雃	雃	U+2F9F3	U+96C3	#	
嶲	嶲	U+2F9F4	U+5DB2	#	
霣	霣	U+2F9F5	U+9723	#	
𩅅	𩅅	U+2F9F6	U+29145	B	
𩈚	𩈚	U+2F9F7	U+2921A	B	
䩮	䩮	U+2F9F8	U+4A6E	A	
䩶	䩶	U+2F9F9	U+4A76	A	
韠	韠	U+2F9FA	U+97E0	#	
𩐊	𩐊	U+2F9FB	U+2940A	B	
䪲	䪲	U+2F9FC	U+4AB2	A	
𩒖	𩒖	U+2F9FD	U+29496	B	
頋	頋	U+2F9FE	U+980B	#	
頋	頋	U+2F9FF	U+980B	#	
頩	頩	U+2FA00	U+9829	#	
𩖶	𩖶	U+2FA01	U+295B6	B	
飢	飢	U+2FA02	U+98E2	#	
䬳	䬳	U+2FA03	U+4B33	A	
餩	餩	U+2FA04	U+9929	#	
馧	馧	U+2FA05	U+99A7	#	
駂	駂	U+2FA06	U+99C2	#	
駾	駾	U+2FA07	U+99FE	#	
䯎	䯎	U+2FA08	U+4BCE	A	
𩬰	𩬰	U+2FA09	U+29B30	B	
鬒	鬒	U+2FA0A	U+9B12	#	
鱀	鱀	U+2FA0B	U+9C40	#	
鳽	鳽	U+2FA0C	U+9CFD	#	
䳎	䳎	U+2FA0D	U+4CCE	A	
䳭	䳭	U+2FA0E	U+4CED	A	
鵧	鵧	U+2FA0F	U+9D67	#	
𪃎	𪃎	U+2FA10	U+2A0CE	B	
䳸	䳸	U+2FA11	U+4CF8	A	
𪄅	𪄅	U+2FA12	U+2A105	B	
𪈎	𪈎	U+2FA13	U+2A20E	B	
𪊑	𪊑	U+2FA14	U+2A291	B	
麻	麻	U+2FA15	U+9EBB	#	
䵖	䵖	U+2FA16	U+4D56	A	
黹	黹	U+2FA17	U+9EF9	#	
黾	黾	U+2FA18	U+9EFE	#	
鼅	鼅	U+2FA19	U+9F05	#	
鼏	鼏	U+2FA1A	U+9F0F	#	
鼖	鼖	U+2FA1B	U+9F16	#	
鼻	鼻	U+2FA1C	U+9F3B	#	
𪘀	𪘀	U+2FA1D	U+2A600	B	
