comp-char	common-char	comp-code	common-code	level	flag
⼜	又	U+2F1C	U+53C8	#	
⼝	口	U+2F1D	U+53E3	#	
⼞	口	U+2F1E	U+53E3	#	
⼟	土	U+2F1F	U+571F	#	
⼠	土	U+2F20	U+571F	#	
⼡	夂	U+2F21	U+5902	#	
⼢	夊	U+2F22	U+590A	#	
⼣	夕	U+2F23	U+5915	#	
⼤	大	U+2F24	U+5927	#	
⼥	女	U+2F25	U+5973	#	
⼦	子	U+2F26	U+5B50	#	
⼧	宀	U+2F27	U+5B80	#	
⼨	寸	U+2F28	U+5BF8	#	
⼩	小	U+2F29	U+5C0F	#	
⼪	尢	U+2F2A	U+5C22	#	
⼫	尸	U+2F2B	U+5C38	#	
⼬	屮	U+2F2C	U+5C6E	#	
⼭	山	U+2F2D	U+5C71	#	
⼮	巛	U+2F2E	U+5DDB	#	
⼯	工	U+2F2F	U+5DE5	#	
⼰	己	U+2F30	U+5DF1	#	
⼱	巾	U+2F31	U+5DFE	#	
⼲	干	U+2F32	U+5E72	#	
⼳	幺	U+2F33	U+5E7A	#	
⼴	广	U+2F34	U+5E7F	#	
⼵	廴	U+2F35	U+5EF4	#	
⼶	廾	U+2F36	U+5EFE	#	
⼷	弋	U+2F37	U+5F0B	#	
⼸	弓	U+2F38	U+5F13	#	
⼹	彐	U+2F39	U+5F50	#	
⼺	彡	U+2F3A	U+5F61	#	
⼻	彳	U+2F3B	U+5F73	#	
⼼	心	U+2F3C	U+5FC3	#	
⼽	戈	U+2F3D	U+6208	#	
⼾	戶	U+2F3E	U+6236	#	
⼿	手	U+2F3F	U+624B	#	
⽀	支	U+2F40	U+652F	#	
⽁	攴	U+2F41	U+6534	#	
⽂	文	U+2F42	U+6587	#	
⽃	斗	U+2F43	U+6597	#	
⽄	斤	U+2F44	U+65A4	#	
⽅	方	U+2F45	U+65B9	#	
⽆	无	U+2F46	U+65E0	#	
⽇	日	U+2F47	U+65E5	#	
⽈	曰	U+2F48	U+66F0	#	
⽉	月	U+2F49	U+6708	#	
⽊	木	U+2F4A	U+6728	#	
⽋	欠	U+2F4B	U+6B20	#	
⽌	止	U+2F4C	U+6B62	#	
⽍	歹	U+2F4D	U+6B79	#	
⽎	殳	U+2F4E	U+6BB3	#	
⽏	毋	U+2F4F	U+6BCB	#	
⽐	比	U+2F50	U+6BD4	#	
⽑	毛	U+2F51	U+6BDB	#	
⽒	氏	U+2F52	U+6C0F	#	
⽓	气	U+2F53	U+6C14	#	
⽔	水	U+2F54	U+6C34	#	
⽕	火	U+2F55	U+706B	#	
⽖	爪	U+2F56	U+722A	#	
⽗	父	U+2F57	U+7236	#	
⽘	爻	U+2F58	U+723B	#	
⽙	爿	U+2F59	U+723F	#	
⽚	片	U+2F5A	U+7247	#	
⽛	牙	U+2F5B	U+7259	#	
⽜	牛	U+2F5C	U+725B	#	
⽝	犬	U+2F5D	U+72AC	#	
⽞	玄	U+2F5E	U+7384	#	
⽟	玉	U+2F5F	U+7389	#	
⽠	瓜	U+2F60	U+74DC	#	
⽡	瓦	U+2F61	U+74E6	#	
⽢	甘	U+2F62	U+7518	#	
⽣	生	U+2F63	U+751F	#	
⽤	用	U+2F64	U+7528	#	
⽥	田	U+2F65	U+7530	#	
⽦	疋	U+2F66	U+758B	#	
⽧	疒	U+2F67	U+7592	#	
⽨	癶	U+2F68	U+7676	#	
⽩	白	U+2F69	U+767D	#	
⽪	皮	U+2F6A	U+76AE	#	
⽫	皿	U+2F6B	U+76BF	#	
⽬	目	U+2F6C	U+76EE	#	
⽭	矛	U+2F6D	U+77DB	#	
⽮	矢	U+2F6E	U+77E2	#	
⽯	石	U+2F6F	U+77F3	#	
⽰	示	U+2F70	U+793A	#	
⽱	禸	U+2F71	U+79B8	#	
⽲	禾	U+2F72	U+79BE	#	
⽳	穴	U+2F73	U+7A74	#	
⽴	立	U+2F74	U+7ACB	#	
⽵	竹	U+2F75	U+7AF9	#	
⽶	米	U+2F76	U+7C73	#	
⽷	糸	U+2F77	U+7CF8	#	
⽸	缶	U+2F78	U+7F36	#	
⽹	网	U+2F79	U+7F51	#	
⽺	羊	U+2F7A	U+7F8A	#	
⽻	羽	U+2F7B	U+7FBD	#	
⽼	老	U+2F7C	U+8001	#	
⽽	而	U+2F7D	U+800C	#	
⽾	耒	U+2F7E	U+8012	#	
⽿	耳	U+2F7F	U+8033	#	
⾀	聿	U+2F80	U+807F	#	
⾁	肉	U+2F81	U+8089	#	
⾂	臣	U+2F82	U+81E3	#	
⾃	自	U+2F83	U+81EA	#	
